Iteration	Posterior	Likelihood	Prior	rate_log_sd	rate_loss	rate_neo	root_freqs[1]	root_freqs[2]	tree_length
0	-88.86282	-117.5839	28.72104	0.8225022	8.560659	0.3194625	0.4619	0.5381	0.7203825
6	-87.09245	-116.2034	29.11099	0.8731486	6.66348	0.3194625	0.577148	0.422852	0.5821011
12	-89.07098	-118.3257	29.2547	0.3598718	8.029184	0.3194625	0.671924	0.328076	0.7618388
18	-88.72846	-117.442	28.71356	0.1930338	6.162215	1.044625	0.725104	0.274896	0.8651299
24	-102.9349	-130.8895	27.9546	0.6289843	7.70838	0.9510524	0.612035	0.387965	0.9591488
30	-94.49935	-122.5581	28.05875	1.232516	6.162215	0.8384191	0.4813	0.5187	0.586976
36	-98.13987	-124.5188	26.37894	1.398683	7.382008	1.294708	0.34585	0.65415	1.439415
42	-92.62969	-120.4391	27.80939	0.4445231	7.382008	1.294708	0.643203	0.356797	1.037605
48	-90.60008	-119.2131	28.61304	0.3881729	7.382008	0.8137388	0.643203	0.356797	0.7030472
54	-87.03589	-115.2006	28.16473	0.8364901	7.382008	0.8137388	0.734929	0.265071	0.7030472
60	-90.04034	-118.3068	28.26642	0.2473771	7.382008	0.8137388	0.434919	0.565081	1.22397
66	-89.85866	-118.5567	28.69808	0.7407981	7.382008	0.2743588	0.580874	0.419126	1.188397
72	-89.41928	-117.3231	27.90387	1.005424	8.700999	0.7324772	0.414783	0.585217	0.4485865
78	-91.15398	-119.8017	28.64777	0.08823467	9.279786	0.7324772	0.791039	0.208961	0.7262584
84	-95.56087	-123.0633	27.50243	0.5078002	12.8373	0.7324772	0.766797	0.233203	0.9795018
90	-89.36255	-118.3	28.93744	0.2407398	6.583376	0.6345525	0.837295	0.162705	0.9795018
96	-97.02966	-125.5433	28.51363	0.7794566	6.583376	0.6345525	0.665501	0.334499	0.8527665
102	-92.05967	-119.6196	27.55991	0.3057395	17.02091	0.6345525	0.646237	0.353763	0.7414256
108	-92.85433	-121.9763	29.122	0.01677474	5.770422	1.074354	0.775531	0.224469	0.5959934
114	-91.48636	-121.2673	29.78093	0.001187709	2.052188	1.074354	0.477941	0.522059	1.365451
120	-85.03212	-115.6747	30.64253	0.006659324	2.549208	0.6842038	0.26761	0.73239	0.6358011
126	-85.57263	-115.6209	30.04826	0.09975153	3.635096	0.6842038	0.268162	0.731838	0.7257313
132	-84.17824	-113.9128	29.73452	0.5063633	3.00507	0.5366418	0.652586	0.347414	1.130987
138	-85.71246	-115.6234	29.91093	0.1223624	3.490054	0.646415	0.684997	0.315003	0.9913851
144	-89.49872	-119.4555	29.95676	0.6036858	3.490054	0.4450016	0.0895463	0.910454	0.7374926
